date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType2022-11-17,BE,BAALNO31,AALNO150,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BAALNO32,AALNO150,0,0,,17.5209,3.42892,0,0,,,,,,,,,
2022-11-17,BE,BAALST31,AALST150,0,0,,6.70502,-6.2804,0,0,,,,,,,,,
2022-11-17,BE,BAALTR31,AALTR150,0,0,,10.8511,0.13849,0,0,,,,,,,,,
2022-11-17,BE,BAALTR32,AALTR150,0,0,,10.6881,2.52965,0,0,,,,,,,,,
2022-11-17,BE,BACHEN11,ACHEN380,0,0,,12.5618,-4.3018,0,0,,,,,,,,,
2022-11-17,BE,BACHEN12,ACHEN380,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BACHES11,ACHES380,0,0,,2.18342,-1.5787,0,0,,,,,,,,,
2022-11-17,BE,BAIRLI31,AIRLI150,0,0,,25.0917,15.4025,0,0,,,,,,,,,
2022-11-17,BE,BALEGR11,ALEGR380,0,0,,0,0,0,0,0,-1000.0,500.000,-500.00,,,,,
2022-11-17,BE,BALZ  31,ALZ 150,0,0,,9.56534,6.25871,0,0,,,,,,,,,
2022-11-17,BE,BALZ  33,ALZ 150,0,0,,15.8013,-1.4494,0,0,,,,,,,,,
2022-11-17,BE,BALZ  34,ALZ 150,0,0,,27.7530,1.87822,-0.6000,-0.0600,,,,,,,,,
2022-11-17,BE,BALZ  32,ALZ 150,0,0,,0.11212,1.00546,0,0,,,,,,,,,
2022-11-17,BE,BAMERC3W,AMERC 12,0,2,155.79,0,0,-65.324,15.8605,,,,,,,,,
2022-11-17,BE,BAMERC3V,AMERC 16,0,2,155.63,0,0,-115.20,41.1616,-86.400,-276.20,80.1684,-140.90,,,,,
2022-11-17,BE,BAMERC3C,AMERC150,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BAMERC31,AMERC150,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BAMOCO31,AMOCO150,0,0,,63.1777,16.1469,0,0,,,,,,,,,
2022-11-17,BE,BANDUM31,ANDUM150,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BANDUM30,ANDUM150,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BANDUM32,ANDUM150,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BANDUM33,ANDUM150,0,0,,0,0,0,0,,,,,,,,,
2022-11-17,BE,BANDUM1R,ANDUM380,0,0,,0,0,0,0,,,,,,,,,
