date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,IT,IISPM111,ARVEDI ST,0,0,409.46,467.8,-34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IASTN121,ASTRONI,0,0,230.02,23.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAURR21Z,AURELIA,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAURRA11,AURELIA,0,0,397.65,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAUZV12Z,AURONZO,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAUZV22Z,AURONZO,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAUKV12Z,AURONZO NK,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVNN111,AVELLINO N,0,0,399.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVNF121,AVENZA,0,0,236.74,92.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVRN121,AVERSA,0,0,229.38,24.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVITA21,AVISE,0,0,237.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAZTVA21,AZOTATI,0,0,234.64,1.1,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBVZV121,B.VALS.ZI,0,0,230.87,67.6,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBAGM111,BAGGIO,0,0,409.97,197.9,-32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBAGM121,BAGGIO,0,0,241.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBAGM122,BAGGIO,0,0,235.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBALT121,BALZOLA,0,0,231.45,64.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBASF111,BARGI,0,0,406.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBARF11Z,BARGI CENT,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBARF21Z,BARGI CENT,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBAON111,BARI O,0,0,398.01,-80.5,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBLSNA11,BELCAS.380,0,0,395.91,-0.8,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IABEV121,BELTRAME,0,0,234.09,141.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBLVMA21,BELVISO,0,2,233.27,0.0,0.0,-0.9,-2.8,0.0,-65.0,29.6,-55.6,4.0,65.0,,,
2007-05-01,IT,IBN2N111,BENEVEN. 2,0,0,399.43,23.2,-42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBN3N111,BENEVEN.3,0,0,399.62,-67.8,-71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBIET121,BIELLA EST,0,0,233.09,40.0,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBSAN111,BISAC.380,0,0,401.07,-11.9,-87.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBSAN11Z,BISAC.380,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBISTA21,BISTAGNO,0,0,234.40,-13.6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBOAV121,BOAZZO,0,0,234.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBLNN11Z,BOLANO,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBLNN21Z,BOLANO,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBLNN31Z,BOLANO,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBLNN41Z,BOLANO,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBLNNF11,BOLANO,0,0,404.99,-670.7,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBZEVA21,BOLZANO,0,0,240.31,13.8,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBVSV121,BORGOVALSU,0,0,230.94,13.2,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBOVM111,BOVISIO,0,0,411.54,311.0,-62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRAN111,BRIALL,0,0,391.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBSCN111,BRIN. S CE,0,2,393.52,9.2,12.6,-366.3,-72.0,-205.0,-660.0,222.1,-387.3,5.0,660.0,,,
2007-05-01,IT,IBSCN211,BRIN. S CE,0,0,392.77,0.2,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBSCN311,BRIN. S CE,0,0,392.61,8.8,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBSCN411,BRIN. S CE,0,2,393.50,9.9,7.1,-221.7,-78.9,-205.0,-660.0,260.3,-382.5,5.0,660.0,,,
2007-05-01,IT,IBSSN111,BRIN. S ST,0,0,392.67,-36.0,224.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRIN311,BRINDISI,0,2,392.43,0.0,0.0,0.1,55.1,0.0,0.0,125.0,-290.0,0.0,0.0,,,
2007-05-01,IT,IBRIN411,BRINDISI,0,2,392.43,0.0,0.0,0.1,56.4,0.0,0.0,125.0,-290.0,0.0,0.0,,,
2007-05-01,IT,IBRINA11,BRINDISI,0,0,392.48,-25.5,-71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRINA2Z,BRINDISI,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRNN111,BRINDISI N,0,2,391.65,0.0,0.0,-0.1,116.5,0.0,0.0,302.3,-579.6,0.0,0.0,,,
2007-05-01,IT,IBRNN12Z,BRINDISI N,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IVEAM121,BRUGH. AL,0,0,240.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRUM111,BRUGHERIO,0,0,410.97,254.3,-9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRUM121,BRUGHERIO,0,0,241.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRUM122,BRUGHERIO,0,0,236.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IBRSN121,BRUSCIANO,0,0,229.52,22.1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
