date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,PT,PCANEL21,CANELAS,0,0,219.3,229.3,82.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFANHO21,FANHOES,0,0,220.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PARMAM21,ARMAMAR,0,0,219.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PARMAM22,ARMAMAR,0,0,219.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPOMBA21,POMBAL,0,0,218.4,-7.2,20.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PCUSTO21,CUSTOIAS,0,0,220.5,93.6,9.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPICOT21,PICOTE,0,2,220.0,0.0,0.0,0.3,29.2,0.0,-310.0,93.0,-151.0,,,,,
2007-05-01,PT,PCARRI21,CARRICHE,0,0,220.4,144.1,19.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PTRAJO21,TRAJOUCE,0,0,219.8,172.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PRECAR21,RECAREI,0,0,220.1,127.3,42.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PS.RIO21,S.RIOS,0,0,220.4,158.5,27.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PA.S.J21,A.S.JOAO,0,0,220.9,62.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PTORRA21,TORRAO,0,2,219.9,57.6,14.8,0.2,-35.2,70.0,-70.0,35.0,-38.0,,,,,
2007-05-01,PT,PREGUA21,REGUA,0,2,220.0,0.0,0.0,-16.9,-6.9,0.0,-120.0,52.0,-52.0,,,,,
2007-05-01,PT,PFERRO21,FERRO,0,0,220.5,27.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PMOGAD21,MOGADOURO,0,0,220.3,-19.2,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSANTA21,SANTAREM,0,0,219.2,34.1,17.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PCHAFA21,CHAFARIZ,0,0,219.4,21.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PCARRA21,CARRAPATELO,0,2,219.5,2.6,5.1,0.2,-50.2,0.0,-134.0,40.0,-54.0,,,,,
2007-05-01,PT,PURRO_21,URRO,0,0,220.1,0.4,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPRELA21,PRELADA,0,0,220.6,96.5,15.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPARAI21,PARAIMO,0,0,218.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPENEL21,PENELA,0,0,218.6,6.6,29.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PC.BRA21,C.BRANCO,0,0,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PM.CAV21,M.CAVALEIROS,0,0,220.1,23.5,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PCARVO21,CARVOEIRA,0,0,218.1,77.9,30.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
