date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,IT,ISBSFA12,ISBSFA21,1,0,400.,230.,400.,0.4700,43.360,-0.40000,0.6000,577,SBSFTIR38022
2007-05-01,IT,ISGSR111,ISGSR121,1,0,400.,230.,400.,0.5400,32.880,-2.40000,0.8000,577,SGSRTIT38022
2007-05-01,IT,ISLUR111,ISLUR121,1,0,400.,230.,400.,0.5100,40.440,-3.40000,0.8000,577,SLURTIT38022
2007-05-01,IT,ISMRNA11,ISMRN121,1,0,400.,230.,400.,0.4600,45.960,-4.80000,0.4000,577,SMRNTIT38022
2007-05-01,IT,ISMRNA11,ISMRN121,2,0,400.,230.,400.,0.4600,45.960,-4.80000,0.4000,577,SMRNTIT38022
2007-05-01,IT,ISSONA11,ISSONA21,1,0,400.,230.,400.,0.4400,47.480,-0.60000,0.6000,577,SSONTIT38022
2007-05-01,IT,ISSONA11,ISSONB21,1,0,400.,230.,400.,0.4400,46.600,-0.60000,0.6000,577,SSONTIT38022
2007-05-01,IT,ISLGV111,ISLGV121,1,0,400.,230.,400.,0.4900,45.240,-1.20000,0.6000,577,SLGVTIT38022
2007-05-01,IT,ISPET211,ISPET221,1,0,400.,230.,400.,0.4800,48.520,-0.80000,0.4000,577,SPETTIT38022
2007-05-01,IT,ITN2N111,ITN2N121,1,0,400.,230.,400.,0.4400,48.080,-0.60000,0.6000,577,TN2NTIT38022
2007-05-01,IT,ITN2N111,ITN2N221,1,0,400.,230.,400.,0.4400,44.200,-0.60000,0.6000,577,TN2NTIT38022
2007-05-01,IT,ITN2N111,ITN2N321,1,0,400.,230.,400.,0.4400,44.600,-0.60000,0.6000,577,TN2NTIT38022
2007-05-01,IT,ITZNM111,ITZNM121,1,0,400.,230.,400.,0.4900,45.400,-0.40000,0.6000,577,TZNMTIT38022
2007-05-01,IT,ITBGM211,ITBGM121,1,0,400.,230.,400.,0.4900,44.360,-0.60000,0.6000,577,TBGMTIT38022
