date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,NL,NLSM222S,NLSM1150,1,,,,,,,,,,
2007-05-01,NL,NLSM222S,NLOUWS21,1,,,,,,,,,,
2007-05-01,NL,NMEE222S,NMEE222A,1,1.500,10,4,,,,,,,
2007-05-01,NL,NMEE222S,NMEE115A,1,,,,,,,,,,
2007-05-01,NL,NMEE222S,NMEEDE22,1,,,,,,,,,,
2007-05-01,NL,NOHK222S,NOHK222A,1,1.500,10,-1,,,,,,,
2007-05-01,NL,NOHK222S,NOHK1151,1,,,,,,,,,,
2007-05-01,NL,NOHK222S,NOUDEH21,1,,,,,,,,,,
2007-05-01,NL,NOHK222T,NOHK222A,1,1.500,10,-1,,,,,,,
2007-05-01,NL,NOHK222T,NOHK1151,1,,,,,,,,,,
2007-05-01,NL,NOHK222T,NOUDEH22,1,,,,,,,,,,
2007-05-01,NL,NRBB222S,NRBB222A,1,1.500,10,2,,,,,,,
2007-05-01,NL,NRBB222S,NEHM1152,1,,,,,,,,,,
2007-05-01,NL,NRBB222S,NEEMSH21,1,,,,,,,,,,
2007-05-01,NL,NVVL222S,NVVL222A,1,1.500,10,4,,,,,,,
2007-05-01,NL,NVVL222S,NVVL115A,1,,,,,,,,,,
2007-05-01,NL,NVVL222S,NVIERV22,1,,,,,,,,,,
2007-05-01,NL,NZYV222S,NZYV222A,1,1.500,10,2,,,,,,,
2007-05-01,NL,NZYV222S,NZYV115A,1,,,,,,,,,,
2007-05-01,NL,NZYV222S,NZEYER21,1,,,,,,,,,,
2007-05-01,NL,NBVW381T,NBVW381A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NBVW381T,NBVW153B,1,,,,,,,,,,
2007-05-01,NL,NBVW381T,NBVW-511,1,,,,,,,,,,
2007-05-01,NL,NBWK381S,NBWK381A,1,1.500,10,3,,,,,,,
2007-05-01,NL,NBWK381S,NZT1503B,1,,,,,,,,,,
2007-05-01,NL,NBWK381S,NBWK-510,1,,,,,,,,,,
2007-05-01,NL,NBKK381S,NBKK381A,1,1.500,10,0,,,,,,,
2007-05-01,NL,NBKK381S,NBKK153B,1,,,,,,,,,,
2007-05-01,NL,NBKK381S,NBKK-510,1,,,,,,,,,,
2007-05-01,NL,NCST381T,NCST381A,1,1.500,10,2,,,,,,,
2007-05-01,NL,NCST381T,NCRAYE32,1,,,,,,,,,,
2007-05-01,NL,NCST381T,NCST-511,1,,,,,,,,,,
2007-05-01,NL,NDIM381S,NDIM381A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NDIM381S,NDIM153A,1,,,,,,,,,,
2007-05-01,NL,NDIM381S,NDIM-510,1,,,,,,,,,,
2007-05-01,NL,NDIM381T,NDIM381A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NDIM381T,NDIM153B,1,,,,,,,,,,
2007-05-01,NL,NDIM381T,NDIM-511,1,,,,,,,,,,
2007-05-01,NL,NDOD381T,NDOD381A,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDOD381T,NDOD1531,1,,,,,,,,,,
2007-05-01,NL,NDOD381T,NDOD-511,1,,,,,,,,,,
2007-05-01,NL,NDTC381T,NDTC381A,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDTC381T,NLGK153B,1,,,,,,,,,,
2007-05-01,NL,NDTC381T,NDTC-511,1,,,,,,,,,,
2007-05-01,NL,NEHV381S,NEHV381A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NEHV381S,NEHVO 3A,1,,,,,,,,,,
2007-05-01,NL,NEHV381S,NEHV-510,1,,,,,,,,,,
2007-05-01,NL,NEHV381T,NEHV381A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NEHV381T,NEHVO 3A,1,,,,,,,,,,
2007-05-01,NL,NEHV381T,NEHV-511,1,,,,,,,,,,
2007-05-01,NL,NENS381S,NENS381A,1,1.500,10,2,,,,,,,
2007-05-01,NL,NENS381S,NENS1151,1,,,,,,,,,,
2007-05-01,NL,NENS381S,NENS-513,1,,,,,,,,,,
2007-05-01,NL,NENS381W,NENS381A,1,1.500,10,3,,,,,,,
2007-05-01,NL,NENS381W,NENS222A,1,,,,,,,,,,
2007-05-01,NL,NENS381W,NENS-511,1,,,,,,,,,,
2007-05-01,NL,NENS381X,NENS381A,1,1.500,10,3,,,,,,,
2007-05-01,NL,NENS381X,NENS222A,1,,,,,,,,,,
2007-05-01,NL,NENS381X,NENS-512,1,,,,,,,,,,
2007-05-01,NL,NGT3801S,NGT3801A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NGT3801S,NGT1503A,1,,,,,,,,,,
2007-05-01,NL,NGT3801S,NGT--510,1,,,,,,,,,,
2007-05-01,NL,NHGL381U,NHGL381A,1,1.500,10,10,,,,,,,
2007-05-01,NL,NHGL381U,NHGLO 5A,1,,,,,,,,,,
2007-05-01,NL,NHGL381U,NHGL-512,1,,,,,,,,,,
2007-05-01,NL,NHGL381S,NHGL381A,1,1.500,10,10,,,,,,,
2007-05-01,NL,NHGL381S,NHGLO 5C,1,,,,,,,,,,
2007-05-01,NL,NHGL381S,NHGL-510,1,,,,,,,,,,
2007-05-01,NL,NKIJ381T,NKIJ381A,1,1.500,10,4,,,,,,,
2007-05-01,NL,NKIJ381T,NKIJ153E,1,,,,,,,,,,
2007-05-01,NL,NKIJ381T,NKIJ-511,1,,,,,,,,,,
2007-05-01,NL,N_FL-41,NLLS381A,1,2.500,2,1,,,,,,,
2007-05-01,NL,NLLS381S,NLLS381A,1,1.500,10,5,,,,,,,
2007-05-01,NL,NLLS381S,NLLS153A,1,,,,,,,,,,
2007-05-01,NL,NLLS381S,NLLS-510,1,,,,,,,,,,
2007-05-01,NL,NLLS381U,NLLS381A,1,1.500,10,2,,,,,,,
2007-05-01,NL,NLLS381U,NLLS153B,1,,,,,,,,,,
2007-05-01,NL,NLLS381U,NLELYS1A,1,,,,,,,,,,
2007-05-01,NL,N_CC-A1,NMBT381A,1,1.025,2,-1,,,,,,,
2007-05-01,NL,NMBT381T,NMBT381A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NMBT381T,NMBT153D,1,,,,,,,,,,
2007-05-01,NL,NMBT381T,NMBT-511,1,,,,,,,,,,
2007-05-01,NL,NMBT381S,NMBT381A,1,1.500,10,1,,,,,,,
2007-05-01,NL,NMBT381S,NMBT153A,1,,,,,,,,,,
2007-05-01,NL,NMBT381S,NMBT-510,1,,,,,,,,,,
2007-05-01,NL,NOZN381S,NOZN381A,1,1.500,10,3,,,,,,,
2007-05-01,NL,NOZN381S,NOZN1530,1,,,,,,,,,,
2007-05-01,NL,NOZN381S,NOZN-510,1,,,,,,,,,,
2007-05-01,NL,NVHZ381T,NVHZ381A,1,1.732,10,0,,,,,,,
2007-05-01,NL,NVHZ381T,NVHZ1531,1,,,,,,,,,,
2007-05-01,NL,NVHZ381T,NVHZ-511,1,,,,,,,,,,
2007-05-01,NL,N_SCE 3,NEBK113A,1,,,,,,,,,,
2007-05-01,NL,N_FL-53,NLLS153A,1,2.500,2,0,,,,,,,
2007-05-01,NL,NRK10 31,NRK1503A,1,1.670,11,0,,,,,,,
2007-05-01,NL,N_HW-93,NHW1503A,1,,,,,,,,,,
2007-05-01,NL,NESDM 51,NESDM 5A,1,,,,,,,,,,
2007-05-01,NL,N_HC615,NHCL115A,1,,,,,,,,,,
2007-05-01,NL,N_WKC13,NHMO153A,1,1.546,12,0,,,,,,,
2007-05-01,NL,NMDK2_3,NWKCM 3B,1,,,,,,,,,,
2007-05-01,NL,N_RSB 3,NRSB153A,1,1.546,12,0,,,,,,,
2007-05-01,NL,NMDB103A,NMDB153A,1,1.500,13,0,,,,,,,
2007-05-01,NL,N_ES1G3,NTNZ153A,1,2.500,3,0,,,,,,,
2007-05-01,NL,NDZW115A,NWEW222A,1,1.500,10,2,,,,,,,
2007-05-01,NL,NHZL381S,NHZL381A,1,1.500,10,4,,,,,,,
2007-05-01,NL,NHZL381S,NHZL222W,1,,,,,,,,,,
2007-05-01,NL,NHZL381S,NZKLW51,1,,,,,,,,,,
2007-05-01,NL,NHZL381T,NHZL381A,1,1.500,10,4,,,,,,,
2007-05-01,NL,NHZL381T,NHZL222Z,1,,,,,,,,,,
2007-05-01,NL,NHZL381T,NZKLZ51,1,,,,,,,,,,
2007-05-01,NL,NBSL381T,NBSL381C,1,1.500,10,2,,,,,,,
2007-05-01,NL,NBSL381T,NBSL153A,1,,,,,,,,,,
2007-05-01,NL,NBSL381T,NBSL-510,1,,,,,,,,,,
2007-05-01,NL,NHZL381U,NHZL381B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NHZL381U,NHZL222O,1,,,,,,,,,,
2007-05-01,NL,NHZL381U,NZKLO51,1,,,,,,,,,,
2007-05-01,NL,NHZL381V,NHZL381B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NHZL381V,NHZL222P,1,,,,,,,,,,
