date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,PT,PM.PED31,PPEGOE32,1,0,2.8440,9.8033,64.80000,735,
2007-05-01,PT,PSABOI31,PPORTI31,1,0,4.3223,14.118,98.22222,785,
2007-05-01,PT,PSABOI31,PLUZIA31,1,0,1.0553,3.2715,25.37777,674,
2007-05-01,PT,PSABOI31,PLUZIA31,2,8,1.0553,3.2715,25.37777,674,
2007-05-01,PT,PCANIC31,PPEDRA31,1,0,1.6402,5.3617,37.06666,785,
2007-05-01,PT,PCANIC31,PPEDRA31,2,0,1.6402,5.3617,37.06666,785,
2007-05-01,PT,PCANIC31,PPEDRA31,3,0,1.6470,6.3652,42.04444,785,
2007-05-01,PT,PCANIC31,PFRADE31,1,0,0.5850,6.1290,72.88888,785,
2007-05-01,PT,PCANIC31,PC.SAL31,1,0,0.8055,5.4158,40.00000,1001,
2007-05-01,PT,PCANIC31,PV.FUR31,1,0,0.9067,3.0825,19.55555,473,
2007-05-01,PT,PCANIC31,PCD-RA31,1,0,0.0203,0.2093,2.488889,1120,
2007-05-01,PT,PC.BRA31,PRODAO31,1,0,1.9732,10.237,73.64444,955,
2007-05-01,PT,PC.BRA31,PRODAO32,2,0,1.9732,10.237,73.64444,955,
2007-05-01,PT,PC.BRA31,PPEGU_31,1,0,2.4547,12.874,90.48888,878,
2007-05-01,PT,PPEDRA31,PFRADE31,1,0,1.2757,10.860,111.3333,1028,
2007-05-01,PT,PPEDRA31,PPEAM_31,1,0,4.2052,22.923,147.5555,2025,
2007-05-01,PT,PPEDRA31,PPEAM_31,2,0,4.2052,22.923,147.5555,2025,
2007-05-01,PT,PFRADE31,PV.NOV31,1,0,0.1845,1.2645,8.888889,1001,
2007-05-01,PT,PFRADE31,PA.RAB31,1,0,1.8675,6.4800,41.68888,500,
2007-05-01,PT,PFRADE31,PC.FRA31,1,0,0.0518,0.3623,2.488889,1001,
2007-05-01,PT,PFRADE31,PCD-RA31,1,0,1.1340,7.6095,56.31111,1120,
2007-05-01,PT,PZEZER21,PSANTA21,1,0,4.0462,22.191,142.2520,955,
2007-05-01,PT,PZEZER21,PSANTA21,2,0,4.0462,22.191,142.2520,955,
2007-05-01,PT,PZEZER21,PPENEL21,1,0,3.8284,20.647,134.6694,955,
2007-05-01,PT,PZEZER21,PPENEL21,2,0,3.8284,20.647,134.6694,955,
2007-05-01,PT,PZEZER21,PC.BOD21,1,0,0.0532,0.2904,1.942149,501,
2007-05-01,PT,PZEZER21,PC.BOD22,2,0,0.0871,0.2952,1.900826,501,
2007-05-01,PT,PZEZER21,PC.BOD23,3,0,0.0871,0.2952,1.900826,501,
2007-05-01,PT,PSACAV21,PCARRE21,1,0,2.3958,12.593,184.4628,1000,
2007-05-01,PT,PSACAV21,PCARRE21,2,0,2.3377,12.429,180.2479,1000,
2007-05-01,PT,PSACAV21,PFANHO21,2,0,1.1035,5.4740,140.0000,1000,
2007-05-01,PT,PSACAV21,PFANHO21,3,0,1.6117,8.5281,155.1446,1003,
2007-05-01,PT,PSACAV21,PA.S.J21,1,0,0.8131,6.1468,743.2851,1294,
2007-05-01,PT,PERMES21,PRR-VM21,1,0,0.3146,1.3262,201.9834,1294,
2007-05-01,PT,PERMES21,PVG-VM21,2,0,0.3098,1.3165,197.7685,1294,
2007-05-01,PT,PPEREI21,PR.MAI21,1,0,8.2086,44.455,292.0041,1050,
2007-05-01,PT,PPEREI21,PPARAI21,1,0,3.3444,18.009,119.8140,955,
2007-05-01,PT,PPEREI21,PPARAI21,2,0,3.3251,18.029,117.1694,1000,
2007-05-01,PT,PPEREI21,PPENEL21,1,0,0.8857,4.8690,123.0785,1908,
2007-05-01,PT,PPEREI21,PTABUA21,2,0,3.1847,17.651,110.1652,1000,
2007-05-01,PT,PPEREI21,PAGUIE21,1,0,2.3426,12.748,83.59504,622,
2007-05-01,PT,PPEREI21,PPR-RM21,2,0,2.7249,15.187,94.21487,1000,
2007-05-01,PT,PPEREI21,PMORTA21,2,0,2.2796,12.400,81.28099,522,
2007-05-01,PT,PPEREI21,PMORTA22,1,0,1.4472,8.0247,49.83471,1003,
2007-05-01,PT,PPOCIN21,PARMAM22,1,0,4.2302,23.440,150.2479,1050,
2007-05-01,PT,PPOCIN21,PCHAFA21,1,0,4.7674,26.707,164.9173,955,
2007-05-01,PT,PPOCIN21,PCHAFA21,2,0,4.5690,26.324,164.7727,955,
2007-05-01,PT,PPOCIN21,PC.POC21,1,0,0.0823,0.4404,2.789256,622,
2007-05-01,PT,PPOCIN21,PB.SAB21,1,0,1.0358,7.5746,59.44214,1152,
2007-05-01,PT,PPOCIN21,XSA_PN21,1,0,1.1640,6.4614,40.70247,971,
2007-05-01,PT,PPOCIN21,XAL_PN22,1,0,1.5391,8.7798,57.47933,1050,
2007-05-01,PT,PPOCIN21,XAL_PN21,1,0,1.5246,8.6733,56.77686,1050,
2007-05-01,PT,PVERMO21,PCUSTO21,1,0,0.7018,4.0898,30.26859,1000,
2007-05-01,PT,PVERMO21,PCUSTO21,2,0,0.3775,2.6426,18.63636,1000,
2007-05-01,PT,PVERMO21,PRECAR21,1,0,1.5391,8.0344,57.80991,1000,
2007-05-01,PT,PVERMO21,PPRELA21,1,0,0.4066,2.7685,20.55785,1118,
2007-05-01,PT,PVERMO21,PPRELA21,2,0,0.8228,1.8682,746.5495,1294,
