date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,IT,INOMMA21,IMRLM121,1,0,0.1200,1.1380,416.8800,1000,NOMM_IMRLM_I
2007-05-01,IT,INOMMA21,ISSGM121,1,0,0.0580,0.3800,40.06000,855,NOMM_ISSGMDI
2007-05-01,IT,IBSOMA2M,ICSSMA21,1,0,3.0090,22.297,155.2400,836,BSOM_ICSSM_I
2007-05-01,IT,IOVMMA21,IBAGM121,1,0,0.2130,0.7450,527.7000,1137,OVMM_IBAGMTI
2007-05-01,IT,ISMIMA21,ITZ2M121,1,0,1.8750,10.244,143.2800,718,SMIM_ITZ2MTI
2007-05-01,IT,IKSEMA2M,ICSAMA21,1,0,1.5970,8.0600,55.22000,800,KSEM_ICSAMTI
2007-05-01,IT,IKSEMA2N,ICSAMA21,2,0,1.5970,8.0600,55.22000,730,KSEM_ICSAMTI
2007-05-01,IT,IRIZN111,IRIZN211,1,0,0.0100,0.3000,0.020000,2880,RIZNTIRIZNTI
2007-05-01,IT,IRIZN111,ISCIN111,1,0,0.6280,9.1810,142.7800,3008,RIZNTISCINTI
2007-05-01,IT,IRIZN211,IBLNNF11,1,0,0.9130,13.481,205.9800,2850,RIZNTIBLNNTI
2007-05-01,IT,IRIZN211,IRICN111,1,0,0.0040,0.3000,0.780000,2430,RIZNTIRICN_I
2007-05-01,IT,IRIZN211,IRICN211,2,0,0.0050,0.3000,0.920000,2430,RIZNTIRICN_I
2007-05-01,IT,IRIZN211,ISCIN111,2,0,0.7360,10.939,165.5200,2850,RIZNTISCINTI
2007-05-01,IT,IRMER111,IRMNR111,1,0,0.6450,7.4670,81.58001,1850,RMERTIRMNRTI
2007-05-01,IT,IRMER111,IVLMRA11,1,0,0.5500,6.4520,70.50001,1850,RMERTIVLMRTI
2007-05-01,IT,IRMNR111,ISLUR111,1,0,1.8870,21.055,250.1800,1850,RMNRTISLURTI
2007-05-01,IT,IRMNR121,ISLUR121,1,8,5.4340,28.460,180.6000,740,RMNRTISLURTI
2007-05-01,IT,IRMNR121,ITIBR121,1,0,0.2050,2.6350,711.3800,790,RMNRTITIBRDI
2007-05-01,IT,IRMNR121,IVLVR121,1,0,5.3120,27.498,177.5200,720,RMNRTIVLVRTI
2007-05-01,IT,IRMOR111,IRMSR111,1,0,0.7370,8.0690,98.66001,2270,RMORTIRMSRTI
2007-05-01,IT,IRMOR111,ISLUR111,1,0,1.4570,16.130,196.8000,1850,RMORTISLURTI
2007-05-01,IT,IRMSR111,IAPLR111,1,0,0.5600,6.2700,76.34000,1850,RMSRTIAPLR_I
2007-05-01,IT,IRMSR121,ISPAR121,1,0,0.4600,5.1400,994.1000,1000,RMSRTISPARDI
2007-05-01,IT,IROVM11Z,IMUSM11M,1,0,0.0640,0.4860,21.54000,2200,ROVMPIMUSMTI
2007-05-01,IT,IROVM211,IMUSM111,3,0,0.0630,0.4740,21.38000,2200,ROVMPIMUSMTI
2007-05-01,IT,IROVM311,IMUSM111,5,0,0.0610,0.4530,21.10000,2200,ROVMPIMUSMTI
2007-05-01,IT,IROVM411,IMUSM111,7,0,0.0600,0.4390,20.94000,2200,ROVMPIMUSMTI
2007-05-01,IT,IRONT111,ICSIT11Z,1,8,0.0040,0.3000,0.280000,2400,RONTTICSIT_I
2007-05-01,IT,IRONT111,ITNOT111,1,0,0.4820,5.8580,90.82001,4000,RONTTITNOTTI
2007-05-01,IT,IRONT121,ICSIT12Z,1,8,0.0870,0.4430,2.960000,1430,RONTTICSIT_I
2007-05-01,IT,IRONT121,ISTUT121,1,8,0.9440,5.4130,341.7200,1130,RONTTISTUTTI
2007-05-01,IT,IRONT121,ITRNT121,1,0,1.1140,9.1440,131.6400,1250,RONTTITRNTTI
2007-05-01,IT,IRSRRA11,IRSRR21Z,1,8,0.0100,0.3000,0.020000,960,RSRRTIRSRRTI
2007-05-01,IT,IRSRRA11,ITERR111,1,0,0.8470,12.314,179.8400,2880,RSRRTITERRTI
2007-05-01,IT,IRSRRA21,IRRKR121,1,0,0.2810,2.0810,14.46000,960,RSRRTIRRKRTI
2007-05-01,IT,IRRSF111,IRELF111,1,0,0.0330,0.3000,59.72000,745,RRSF_IRELF_I
2007-05-01,IT,IRRSF111,IRSNF111,1,0,0.0070,0.3000,11.94000,745,RRSF_IRSNFTI
2007-05-01,IT,IROATA21,IROAT121,1,0,0.0100,0.3000,0.020000,2000,ROATZIROATZI
2007-05-01,IT,IROATA21,IVILTA21,1,0,1.5480,7.7080,54.14000,800,ROATZIVILTZI
2007-05-01,IT,IROSN111,ISCDN111,1,0,1.5310,21.256,334.4200,3008,ROSNTISCDNTI
2007-05-01,IT,IRLLR111,ISEVN111,1,0,0.6000,8.7710,136.9000,2880,RLLR_ISEVNTI
2007-05-01,IT,IRZNM121,ITZ2M121,1,0,1.7980,9.2620,353.8600,850,RZNM_ITZ2MTI
2007-05-01,IT,IRUBFA11,IPRMF111,1,0,0.8280,12.083,184.9400,2000,RUBFTIPRMFTI
2007-05-01,IT,IRUBFA11,ISDMF111,1,0,0.3530,5.1490,79.84000,2580,RUBFTISDMFTI
2007-05-01,IT,ISAZV121,ISATV121,1,0,0.0030,0.3000,11.28000,960,SAZV_ISATVTI
2007-05-01,IT,ISATV121,ISMSV121,1,0,5.2700,26.836,191.9200,600,SATVTISMSVTI
2007-05-01,IT,ISBAF111,ISBSFA12,2,0,0.0010,0.3000,0.000000,720,SBAF_ISBSFTI
2007-05-01,IT,ISBAF211,ISBSFA12,1,0,0.0010,0.3000,0.000000,720,SBAF_ISBSFTI
2007-05-01,IT,ISCOT121,ISCOTA21,1,0,0.0100,0.3000,0.020000,9999,SCOTTISCOTTI
2007-05-01,IT,ISCOT121,IVIGTA21,1,0,4.0940,23.280,162.3800,490,SCOTTIVIGTTI
2007-05-01,IT,ISCRM121,IOVMMA21,1,0,0.1150,0.8320,402.2800,1137,SCRM_IOVMM_I
2007-05-01,IT,ISCRM121,ISMIMA21,1,0,0.0860,0.6560,310.8600,1137,SCRM_ISMIM_I
2007-05-01,IT,ISGIR11Z,ISGSR111,1,8,0.0010,0.3000,0.020000,920,SGIRPISGSRTI
2007-05-01,IT,ISGIR11Z,ISGSR111,2,8,0.0010,0.3000,0.020000,920,SGIRPISGSRTI
2007-05-01,IT,ISGIR12Z,ISGSR121,1,8,0.0130,0.3000,68.14000,1417,SGIRPISGSRTI
2007-05-01,IT,ISGSR111,ITERR111,1,0,0.2870,4.2060,64.52000,2880,SGSRTITERRTI
2007-05-01,IT,ISIKR121,ISGSR121,1,0,0.7820,5.7910,81.74000,1010,SIKR_ISGSRTI
2007-05-01,IT,ISLUR111,ITVDR211,1,0,0.1740,1.9200,23.50000,1850,SLURTITVDRPI
2007-05-01,IT,ISLUR111,ITVDR111,2,0,0.1690,1.8700,22.80000,2230,SLURTITVDRPI
2007-05-01,IT,ISLUR121,IVLVR121,1,0,4.7390,27.390,326.9000,1210,SLURTIVLVRTI
2007-05-01,IT,ISMRNA11,ISPNN111,1,0,0.4070,5.9190,92.52000,3008,SMRNTISPNNTI
2007-05-01,IT,ISMRNA11,ISSONA11,1,0,0.2610,3.8070,59.38000,3008,SMRNTISSONTI
2007-05-01,IT,ISMRNA11,ISTVN111,1,0,0.1090,1.0800,55.46000,960,SMRNTISTVN_I
2007-05-01,IT,ISMVF111,IFNOR111,1,0,0.8950,12.765,228.6800,2310,SMVFTIFNORTI
2007-05-01,IT,ISMCVA21,ISMSV121,3,0,0.0090,0.3000,0.460000,960,SMCVPISMSVTI
2007-05-01,IT,ISMCVA22,ISMSV121,4,0,0.0090,0.3000,0.460000,960,SMCVPISMSVTI
2007-05-01,IT,ISMSV121,ITAIVA21,1,0,2.5870,13.024,89.06001,610,SMSVTITAIV_I
2007-05-01,IT,ISMSV121,ITNSVA21,1,0,0.7480,5.4500,38.90000,1100,SMSVTITNSVTI
2007-05-01,IT,ISPCVA21,ILANV121,1,0,0.7430,3.9180,24.40000,480,SPCVTILANVTI
2007-05-01,IT,ISPCVA21,ISPCV12Z,1,8,0.0010,0.3000,0.000000,1490,SPCVTISPCVTI
2007-05-01,IT,ISPCVA21,ISVAV121,1,0,0.7650,4.0080,25.34000,480,SPCVTISVAVTI
2007-05-01,IT,ISVCV221,ISVAV121,2,0,0.0110,0.3000,3.900000,480,SVCV_ISVAVTI
2007-05-01,IT,ISVAV121,ISVCV121,1,0,0.0090,0.3000,9.220001,480,SVAVTISVCV_I
2007-05-01,IT,ISVLN121,ISCTN121,1,0,0.1460,1.2960,9.160001,800,SVLNDISCTN_I
2007-05-01,IT,ISFAV121,IABSV12M,1,0,0.0180,0.3000,67.02000,720,SFAVTIABSV_I
2007-05-01,IT,ISFAV121,IUDNVA21,1,0,0.5610,4.1620,28.86000,810,SFAVTIUDNVTI
2007-05-01,IT,ISFAV121,IUSTV121,1,0,0.3080,2.2820,15.90000,1115,SFAVTIUSTV_I
2007-05-01,IT,ISLGV111,IVEZV111,1,0,0.5780,8.4810,130.6000,2410,SLGVTIVEZVTI
2007-05-01,IT,ISLGV121,ITVSV121,1,0,1.6380,8.6090,60.10000,600,SLGVTITVSVTI
2007-05-01,IT,ISLVT121,IGERT121,1,0,0.1170,0.4720,383.5600,880,SLVT_IGERT_I
2007-05-01,IT,ISLVT121,ISANT122,1,0,0.1400,0.9490,491.0400,880,SLVT_ISANTTI
2007-05-01,IT,ISLVT121,ITOWT121,1,0,0.0600,0.4100,208.7000,1000,SLVT_ITOWTDI
2007-05-01,IT,ISAEVA21,ITRBV121,1,0,4.0830,20.505,140.4200,630,SAEVZITRBVPI
2007-05-01,IT,ISANT121,ITOST121,1,0,0.0920,0.6950,300.4400,1000,SANTTITOSTDI
2007-05-01,IT,ISAVT121,ISAVTA21,1,0,0.0100,0.3000,0.020000,2000,SAVTTISAVTTI
2007-05-01,IT,ISAVT121,IVDLT121,1,0,0.1400,1.9100,34.50000,1920,SAVTTIVDLTTI
2007-05-01,IT,ISCTN121,ITONN121,1,0,0.4150,3.6480,26.24000,800,SCTN_ITONNDI
2007-05-01,IT,ISCDN111,ISCCN111,1,0,0.0010,0.3000,3.940000,1420,SCDNTISCCN_I
2007-05-01,IT,ISCIN111,ISCIN21Z,1,8,0.0100,0.3000,0.020000,3008,SCINTISCINTI
2007-05-01,IT,ISCIN111,ISCIN31Z,2,8,0.0100,0.3000,0.020000,3008,SCINTISCINTI
2007-05-01,IT,ISCRV121,ISOVVA21,1,0,6.2060,31.943,209.5800,580,SCRVTISOVVTI
2007-05-01,IT,ISCRV121,ISVEV12M,1,0,0.0100,0.3000,0.140000,500,SCRVTISVEV_I
2007-05-01,IT,ISCRV121,ITVSV121,1,0,1.4250,7.4980,50.40000,610,SCRVTITVSVTI
2007-05-01,IT,ISECN121,IFRANA21,1,0,0.2750,2.3010,234.2200,960,SECNDIFRANTI
2007-05-01,IT,ISECN121,IPGRN121,1,0,0.1110,1.0200,643.4001,960,SECNDIPGRNDI
2007-05-01,IT,ISGTM12Z,ILAMMA21,1,8,0.0620,0.5160,210.5000,870,SGTM_ILAMMDI
2007-05-01,IT,ISERM111,ISERMB11,1,0,0.0010,0.3000,3.600000,2270,SERMTISERMTI
2007-05-01,IT,ISERM111,ISERMC11,2,0,0.0010,0.3000,3.600000,2270,SERMTISERMTI
2007-05-01,IT,ISOMV121,ISOMVA21,1,0,0.0100,0.3000,0.080000,960,SOMVPISOMVPI
2007-05-01,IT,ISOMV12M,ISOMVA21,2,0,0.0100,0.3000,0.080000,960,SOMVPISOMVPI
2007-05-01,IT,ISOMVA21,IBUIV121,1,0,1.0600,5.6340,36.36000,690,SOMVPIBUIVTI
2007-05-01,IT,ISPET211,ISPZT11Z,1,8,0.0170,0.3000,3.340000,2400,SPETTISPZTPI
2007-05-01,IT,ISPET211,ISPZT211,2,0,0.0150,0.3000,2.980000,2400,SPETTISPZTPI
2007-05-01,IT,ISPET211,IVIGTA11,1,0,3.4440,38.175,382.0000,2613,SPETTIVIGTTI
2007-05-01,IT,ISPET121,ISPET221,1,0,0.1000,0.3000,2.000000,900,SPETTISPETTI
2007-05-01,IT,ISPET121,ISPET221,2,0,0.1000,0.3000,2.000000,900,SPETTISPETTI
2007-05-01,IT,ISPET121,ISPZT121,1,0,0.0610,0.3030,2.120000,900,SPETTISPZTPI
2007-05-01,IT,IST1VA21,ICAGV121,1,0,2.1400,18.748,135.6600,900,ST1V_ICAGV_I
2007-05-01,IT,IST3VA21,IST1VA21,1,0,0.0220,0.3000,147.4000,1250,ST3V_IST1V_I
